Run 1 Oscillations,,
t,y,weight
0,-1.714,280
0.033,-1.706,280
0.067,-1.698,280
0.1,-1.695,280
0.133,-1.682,280
0.167,-1.669,280
0.2,-1.65,280
0.233,-1.621,280
0.267,-1.59,280
0.3,-1.563,280
0.333,-1.543,280
0.367,-1.52,280
0.4,-1.5,280
0.433,-1.47,280
0.468,-1.445,280
0.502,-1.419,280
0.535,-1.404,280
0.568,-1.386,280
0.602,-1.37,280
0.635,-1.369,280
0.668,-1.37,280
0.702,-1.378,280
0.735,-1.387,280
0.768,-1.406,280
0.802,-1.419,280
0.835,-1.449,280
0.868,-1.467,280
0.902,-1.495,280
0.935,-1.517,280
0.968,-1.539,280
1.002,-1.57,280
1.035,-1.589,280
1.068,-1.6,280
1.102,-1.615,280
1.135,-1.62,280
1.168,-1.623,280
1.202,-1.625,280
1.235,-1.621,280
1.268,-1.61,280
1.302,-1.6,280
1.335,-1.591,280
1.368,-1.566,280
1.402,-1.549,280
1.435,-1.523,280
1.468,-1.501,280
1.502,-1.473,280
1.535,-1.455,280
1.568,-1.434,280
1.602,-1.42,280
1.635,-1.409,280
1.668,-1.4,282
1.702,-1.395,282
1.735,-1.391,282
1.768,-1.397,282
1.802,-1.405,282
1.835,-1.421,282
1.868,-1.433,282
1.902,-1.446,282
1.935,-1.464,283
1.968,-1.483,283
2.002,-1.505,283
2.035,-1.522,283
2.068,-1.547,283
2.103,-1.564,283
2.137,-1.582,283
2.17,-1.592,283
2.203,-1.59,283
2.237,-1.602,283
2.27,-1.602,283
2.303,-1.599,283
2.337,-1.592,283
2.37,-1.586,283
2.403,-1.573,283
2.437,-1.555,284
2.47,-1.539,284
2.503,-1.517,284
2.537,-1.503,284
2.57,-1.481,284
2.603,-1.469,284
2.637,-1.448,284
2.67,-1.43,284
2.703,-1.42,284
2.737,-1.406,284
2.77,-1.407,284
2.803,-1.403,284
2.837,-1.407,284
2.87,-1.414,284
2.903,-1.422,284
2.937,-1.434,284
2.97,-1.453,284
3.003,-1.465,284
3.037,-1.481,284
3.07,-1.498,284
3.103,-1.515,284
3.137,-1.532,284
3.17,-1.542,284
3.203,-1.556,284
3.237,-1.565,284
3.27,-1.574,284
3.303,-1.575,284
3.337,-1.58,284
3.37,-1.577,284
3.403,-1.572,285
3.437,-1.572,285
3.47,-1.559,285
3.503,-1.55,285
3.537,-1.532,285
3.57,-1.52,285
3.603,-1.5,285
3.637,-1.484,285
3.67,-1.471,285
3.705,-1.464,285
3.738,-1.446,285
3.772,-1.438,285
3.805,-1.428,285
3.838,-1.424,285
3.872,-1.424,285
3.905,-1.424,285
3.938,-1.434,285
3.972,-1.443,285
4.005,-1.451,285
4.038,-1.458,285
4.072,-1.475,285
4.105,-1.489,285
4.138,-1.499,285
4.172,-1.517,285
4.205,-1.528,285
4.238,-1.541,285
4.272,-1.554,285
4.305,-1.557,285
4.338,-1.562,285
4.372,-1.568,285
4.405,-1.57,285
4.438,-1.566,285
4.472,-1.563,285
4.505,-1.56,285
4.538,-1.551,285
4.572,-1.542,285
4.605,-1.522,285
4.638,-1.508,285
4.672,-1.497,285
4.705,-1.482,285
4.738,-1.477,285
4.772,-1.471,285
4.805,-1.452,285
4.838,-1.443,285
4.872,-1.44,285
4.905,-1.428,285
4.938,-1.432,285
4.972,-1.436,286
5.005,-1.44,286
5.038,-1.445,286
5.072,-1.45,286
5.105,-1.463,286
5.138,-1.47,286
5.172,-1.482,286
5.205,-1.497,286
5.238,-1.508,286
5.272,-1.52,286
5.307,-1.531,286
5.34,-1.536,286
5.373,-1.542,286
5.407,-1.546,286
5.44,-1.552,286
5.473,-1.553,286
5.507,-1.553,286
5.54,-1.544,286
5.573,-1.537,286
5.607,-1.531,286
5.64,-1.52,286
5.673,-1.512,287
5.707,-1.507,287
5.74,-1.492,287
5.773,-1.483,287
5.807,-1.466,287
5.84,-1.454,287
5.873,-1.454,287
5.907,-1.448,287
5.94,-1.44,287
5.973,-1.44,287
6.007,-1.442,287
6.04,-1.442,287
6.073,-1.453,287
6.107,-1.453,287
6.14,-1.462,287
6.173,-1.469,287
6.207,-1.475,287
6.24,-1.486,287
6.273,-1.502,287
6.307,-1.509,287
6.34,-1.519,287
6.373,-1.526,287
6.407,-1.537,287
6.44,-1.543,287
6.473,-1.545,287
6.507,-1.55,287
6.54,-1.55,287
6.573,-1.538,287
6.607,-1.535,287
6.64,-1.529,287
6.673,-1.525,287
6.707,-1.508,287
6.74,-1.5,287
6.773,-1.489,287
6.807,-1.479,287
6.84,-1.472,287
6.873,-1.465,287
6.907,-1.453,287
6.942,-1.453,287
6.975,-1.446,287
7.008,-1.443,288
7.042,-1.436,288
7.075,-1.437,288
7.108,-1.446,288
7.142,-1.454,288
7.175,-1.461,288
7.208,-1.466,288
7.242,-1.475,288
7.275,-1.483,288
7.308,-1.488,288
7.342,-1.499,288
7.375,-1.507,288
7.408,-1.517,288
7.442,-1.524,288
7.475,-1.525,288
7.508,-1.53,288
7.542,-1.53,288
7.575,-1.53,288
7.608,-1.534,288
7.642,-1.525,288
7.675,-1.521,289
7.708,-1.516,289
7.742,-1.509,289
7.775,-1.499,289
7.808,-1.495,289
7.842,-1.487,289
7.875,-1.476,289
7.908,-1.471,289
7.942,-1.463,289
7.975,-1.45,289
8.008,-1.445,289
8.042,-1.448,289
8.075,-1.443,289
8.108,-1.443,289
8.142,-1.446,289
8.175,-1.45,289
8.208,-1.456,289
8.242,-1.463,289
8.275,-1.47,289
8.308,-1.483,289
8.342,-1.486,289
8.375,-1.495,289
8.408,-1.5,289
8.442,-1.503,289
8.475,-1.515,289
8.51,-1.514,289
8.543,-1.521,289
8.577,-1.526,289
8.61,-1.526,289